source_row,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16
25,Dolichocerae,E. acuminatum,"Sichuan, Emeishan",X.P. Peng 6108,PE,1,108.5,44.4,2.4,4.6,3.8,84.2,95.1,43.7,10.5,20.7
26,Dolichocerae,E. acuminatum,"Sichuan, Emeishan",G.H. Yang 54343,PE,1,115,44.2,2.6,3,5.4,114.4,93.8,38.5,1.7,22.2
27,Dolichocerae,E. acuminatum,"Sichuan, Emeishan",J.H. Xiong 33481,PE,1,151.4,52.2,2.9,4.1,5,128.7,130.9,49.2,3.2,21.9
28,Dolichocerae,E. acuminatum,"Sichuan, Emeishan",G.H. Yang 54207,PE,1,135.1,51.6,2.6,5.5,4.3,139.5,121.3,52.4,4.6,25.8
29,Dolichocerae,E. baojingense,"Hunan, Fenghuang",C.  Zhang Zhang306,BNU,1,113.7,44.4,2.6,10.3,3.9,82.4,103.4,43.9,8.8,33.8
30,Dolichocerae,E. baojingense,"Hunan, Fenghuang",C.  Zhang Zhang306,BNU,1,126.7,57.2,2.2,11,4.9,83.7,101.8,51.5,12.7,36.5
31,Dolichocerae,E. baojingense,"Hunan, Fenghuang",C.  Zhang Zhang306,BNU,1,117.5,52.5,2.2,9.2,4.6,109.1,104.8,49,11.6,31.4
32,Dolichocerae,E. baojingense,"Hunan, Fenghuang",C.  Zhang Zhang306,BNU,1,104,48.1,2.2,5.1,4,76.5,104.2,43.1,4.1,19.1
33,Dolichocerae,E. baojingense,"Hunan, Fenghuang",C.  Zhang Zhang306,BNU,1,103,42.5,2.4,2.7,4.1,80.8,89.4,36.6,2.3,16.8
34,Dolichocerae,E. baojingense,"Hunan, Guzhang",L. Su 4331261405020310,JIU,1,112.2,52.2,2.2,4,5.9,104.1,111,48.8,4.5,26
35,Dolichocerae,E. baojingense,"Hunan, Longshan",C.  Zhang Zhang307,BNU,1,98.5,41.2,2.4,5.2,5.3,92.5,73.7,37.9,5.6,18.5
36,Dolichocerae,E. baojingense,"Hunan, Longshan",C.  Zhang Zhang307,BNU,1,88,39.9,2.2,4.5,4,95,80.4,32.5,3.2,16.4
37,Dolichocerae,E. baojingense,"Hunan, Longshan",C.  Zhang Zhang307,BNU,1,88.7,39.5,2.2,4.9,6.2,82.2,75.4,42.6,9.1,21.7
38,Dolichocerae,E. baojingense,"Hunan, Longshan",C. Zhang Zhang307,JIU,1,114.5,44.3,2.6,2.9,5.8,75,106.6,38.1,2.7,13.1
39,Dolichocerae,E. baojingense,"Hunan, Luxi",D.G. Zhang & D.F. Zhang LX20170414028_0028,JIU,1,72.6,30.5,2.4,1.6,4.3,62.3,70,29.1,3.5,13.3
40,Dolichocerae,E. baojingense,"Hunan, Suining",C.  Zhang Zhang204,BNU,1,111.4,50.8,2.2,8.6,8,107.3,100.3,49.3,9.7,25
41,Dolichocerae,E. baojingense,"Hunan, Suining",C.  Zhang Zhang204,BNU,1,103.6,46.1,2.2,8,4.7,116.7,94.7,48.9,7.6,32.8
42,Dolichocerae,E. baojingense,"Hunan, Suining",C.  Zhang Zhang204,BNU,1,117.3,44.4,2.6,5.2,5.4,110.3,109.8,44.4,3.5,26.7
43,Dolichocerae,E. baojingense,"Hunan, Suining",J.J. Zhou & D. Zhou 1405036,CSFI,1,61.4,39.9,1.5,7.3,5.8,97.1,62.4,36.3,6.5,15.9
44,Dolichocerae,E. baojingense,"Hunan, Suining",J.J. Zhou & D. Zhou 13038,CSFI,1,103.2,41.8,2.5,7.6,5.2,108.4,88.1,41.5,5.7,25
45,Dolichocerae,E. baojingense,"Hunan, Yongshun",C.  Zhang Zhang207,BNU,1,90.3,38.2,2.4,3.1,4.1,71.9,81.8,38.5,2.9,29.7
46,Dolichocerae,E. baojingense,"Hunan, Yongshun",C.  Zhang Zhang207,BNU,1,77.1,29.8,2.6,7.5,5.5,64.4,66.1,29.7,5.8,23.8
47,Dolichocerae,E. baojingense,"Hunan, Yongshun",C.  Zhang Zhang207,BNU,1,82.2,33.9,2.4,31.3,4.1,76.3,76.9,35.5,6.5,25.3
48,Dolichocerae,E. baojingense,"Hunan, Yongshun",C.  Zhang Zhang207,BNU,1,64.5,33.8,1.9,10.5,6.2,78.3,60.6,39.2,9.2,30.6
49,Dolichocerae,E. baojingense,"Hunan, Yongshun",C.  Zhang Zhang208,BNU,1,119.4,54.9,2.2,9.3,4.8,111.6,114.5,52.8,10.7,36.7
50,Dolichocerae,E. baojingense,"Hunan, Yongshun",C.  Zhang Zhang208,BNU,1,124.9,58.6,2.1,11.6,4.4,107.4,110.7,60.7,10.5,24.6
51,Dolichocerae,E. baojingense,"Hunan, Yongshun",C.  Zhang Zhang208,BNU,1,101.2,41.8,2.4,4.8,5.5,108.3,91,39.3,4.5,28.2
52,Dolichocerae,E. baojingense,"Hunan, Yongshun",C.  Zhang Zhang208,BNU,1,105.2,41.9,2.5,5.5,4.2,62.4,83.8,40.9,5.9,32.2
53,Dolichocerae,E. baojingense,"Hunan, Yongshun",C.  Zhang Zhang208,BNU,1,63.1,26.8,2.4,5.3,5.9,83.3,58.9,30.1,7.9,17.1
54,Dolichocerae,E. baojingense,"Hunan, Yongshun",C.  Zhang Zhang208,BNU,1,93.6,35.7,2.6,28.3,6.4,74.5,76.8,36.9,8,28.5
55,Dolichocerae,E. baojingense,"Hunan, Yongshun",K.D. Lei 4331271404270080,JIU,1,93.1,35.6,2.6,6.1,5.7,111.6,106.9,46.6,9.5,21.6
56,Dolichocerae,E. baojingense,"Hunan, Zhangjiajie",H. Zhou & J.L. Luo 15032619,CSFI,1,99,37.7,2.6,3.5,6.1,106.8,80.2,41.4,2.2,13
57,Dolichocerae,E. baojingense,"Hunan, Zhangjiajie",H. Zhou & J.L. Luo 15032541,CSFI,1,134.2,58.8,2.3,6.5,6,171.6,121.1,61.1,4.6,31.1
58,Dolichocerae,E. baojingense,"Hunan, Zhangjiajie",H. Zhou & D.S. Zhou 15041719,CSFI,1,76.6,36.5,2.1,2.5,5.8,61.4,75.6,33.7,1.6,20.2
59,Dolichocerae,E. baojingense,"Hunan, Zhangjiajie",H. Zhou & D.S. Zhou 15041719,CSFI,1,101.3,43.3,2.3,3.5,5.7,67.1,84.9,38.1,5.7,9.7
60,Brachycerae,E. borealiguizhouense,"Chongqing, Youyang",B.L. Guo  0338,BNU,2,181.5,35.5,5.1,4.4,2.9,150,230,32,0,43
61,Brachycerae,E. borealiguizhouense,"Chongqing, Youyang",B.L. Guo  0338,BNU,2,157.6,36,4.4,4.6,2.9,148,156,42,0,38
62,Brachycerae,E. borealiguizhouense,"Chongqing, Youyang",B.L. Guo  0338,BNU,2,140,48,2.9,3,2.9,120,130,38,0,40
63,Brachycerae,E. borealiguizhouense,"Chongqing, Youyang",B.L. Guo  0338,BNU,2,135,50,2.7,3,3,116,148,45,0,42
64,Brachycerae,E. brevicornu,"Gansu, Diebu",D. Xie 202101,BNU,0,35.1,27.4,1.3,3.3,7.8,103.7,28.9,22,3.5,7.9
65,Brachycerae,E. brevicornu,"Gansu, Diebu",D. Xie 202101,BNU,0,39.6,31.1,1.3,4.1,8.3,106.7,30.8,24.3,3.6,8.3
66,Brachycerae,E. brevicornu,"Gansu, Diebu",D. Xie 202101,BNU,0,40.3,31.8,1.3,5.4,8.6,107,36.2,27.4,5.7,8.2
67,Brachycerae,E. brevicornu,"Gansu, Diebu",D. Xie 202101,BNU,0,37.9,31.3,1.2,6.1,6.1,124.9,37.2,27.9,5,10.9
68,Brachycerae,E. brevicornu,"Gansu, Diebu",D. Xie 202101,BNU,0,49.1,34.7,1.4,6.3,5,98.9,33.8,28.8,5.6,10.5
69,Brachycerae,E. brevicornu,"Shaanxi, Baoji",Z.X. Hu & Y.H. Guo 316,WUK,0,48.3,42.5,1.1,6.5,5.4,120,30,27,5,11
70,Brachycerae,E. brevicornu,"Shaanxi, Changan",Yellow R. Exped. 16,WUK,0,44.1,39.1,1.1,3.8,5.9,137.8,40.8,41.4,6.2,13.9
71,Brachycerae,E. brevicornu,"Shaanxi, Luonan",C.  Zhang Zhang201,BNU,0,29.1,23.5,1.2,1.2,6.2,97.9,19.1,18.2,2.8,6.4
72,Brachycerae,E. brevicornu,"Shaanxi, Luonan",C.  Zhang Zhang201,BNU,0,33.4,27.8,1.2,2,6.8,100.9,24.1,20.2,1.8,5.6
73,Brachycerae,E. brevicornu,"Shaanxi, Luonan",C.  Zhang Zhang201,BNU,0,27.5,23.9,1.1,1.6,8.5,90,21.4,20.2,0.2,4.7
74,Brachycerae,E. brevicornu,"Shaanxi, Luonan",C.  Zhang Zhang201,BNU,0,30.9,27,1.1,3.7,7.6,69.4,22.3,22.5,3,7.1
75,Brachycerae,E. brevicornu,"Shaanxi, Luonan",C.  Zhang Zhang201,BNU,0,32,24.9,1.3,3.3,7.3,82.9,24.3,19.5,2.7,5.9
76,Brachycerae,E. brevicornu,"Shaanxi, Luonan",C.  Zhang Zhang201,BNU,0,32.5,25.2,1.3,3.9,5.3,89.8,25.3,22.8,3.7,5.9
77,Brachycerae,E. brevicornu,"Shaanxi, Luonan",C.  Zhang Zhang201,BNU,0,37,34.6,1.1,5.4,5.5,134,31,27.2,4,7.2
78,Brachycerae,E. brevicornu,"Shaanxi, Luonan",C.  Zhang Zhang201,BNU,0,37.1,34.1,1.1,5.4,8.4,119.7,27.8,25.4,3.7,9.8
79,Brachycerae,E. brevicornu,"Shaanxi, Taibai",K.T. Fu 2593,WUK,0,48.2,46.8,1,6.5,4.8,160.8,36.2,31.8,4.7,12.6
80,Brachycerae,E. brevicornu,"Shaanxi, Yangzhou",Z.Y. Zhang 19323,WUK,0,48.4,42.2,1.1,4.8,5.6,164.7,43.7,43.7,8.5,15.1
81,Brachycerae,E. brevicornu,"Shanxi, Qinyuan",K.J. Guan & Y.L. Chen 478,WUK,0,45,37.8,1.2,6.3,5.3,97.9,30.3,26.9,5.7,10.7
82,Campanulatae,E. campanulatum,"Sichuan, Dujiangyan",M. Ogisu 94305,K,0,48.5,25.7,1.9,2.3,5,60.4,40.9,23.3,3.8,6.9
83,Campanulatae,E. campanulatum,"Sichuan, Dujiangyan",M. Ogisu 94305,K,0,50.5,28.4,1.8,2.5,5.2,65.9,40.8,23.1,3.6,6.6
84,Campanulatae,E. campanulatum,"Sichuan, Dujiangyan",Q.Wang & K. Yao 9015,PE,0,46.4,29.6,1.6,2.4,5.1,74.9,32.7,23.5,1.8,5.8
85,Campanulatae,E. campanulatum,"Sichuan, Dujiangyan","Q.Wang, K. Yao 9015",PE,0,49,27,1.8,2.4,5,64,38.6,29.1,4.2,7.9
86,Campanulatae,E. campanulatum,"Sichuan, Dujiangyan",T. T. Yu 801,PE,0,43.7,35.9,1.2,7.2,5.7,71,32,24.5,4,7.8
87,Campanulatae,E. campanulatum,"Sichuan, Ebian",T.T.Yu 801,N,0,29.5,26.6,1.1,6.3,5.1,26.2,25.7,20.7,3.3,5.7
88,Campanulatae,E. campanulatum,"Sichuan, Ebian",T.T.Yu 801,N,0,30.3,24,1.3,5.1,4.6,47.7,26.5,20.8,3.7,5.8
89,Dolichocerae,E. chlorandrum,"Sichuan, Baoxing",C.  Zhang Zhang283,BNU,1,112.6,43.1,2.6,4.2,5.9,127.8,104.7,45.5,5,17.4
90,Dolichocerae,E. chlorandrum,"Sichuan, Baoxing",C.  Zhang Zhang283,BNU,1,111.1,54.5,2,7.1,6.1,98.1,102.3,47.8,7.5,29.6
91,Dolichocerae,E. chlorandrum,"Sichuan, Baoxing",C.  Zhang Zhang283,BNU,1,92.5,33.8,2.7,1.2,6.5,58.2,78,34,1,7.7
92,Dolichocerae,E. chlorandrum,"Sichuan, Baoxing",C.  Zhang Zhang283,BNU,1,123.5,51.9,2.4,6.7,5.9,121.6,106.5,50.8,8.9,24
93,Dolichocerae,E. chlorandrum,"Sichuan, Baoxing",C.  Zhang Zhang283,BNU,1,114.8,53.7,2.1,8.8,5.8,106.2,107,50.6,7.2,26.5
94,Dolichocerae,E. chlorandrum,"Sichuan, Baoxing",C.  Zhang Zhang283,BNU,1,109,41.3,2.6,2.8,4.4,115.4,97.6,36.1,1.3,14.5
95,Dolichocerae,E. chlorandrum,"Sichuan, Baoxing",C.  Zhang Zhang283,BNU,1,118.4,42.7,2.8,3.4,4.4,138.7,98.2,35.3,2.1,12.7
96,Dolichocerae,E. chlorandrum,"Sichuan, Baoxing",C.  Zhang Zhang283,BNU,1,111.5,49.4,2.3,7.5,5.9,95.9,96.9,42.7,7.8,27.7
97,Dolichocerae,E. chlorandrum,"Sichuan, Baoxing",C.  Zhang Zhang283,BNU,1,118,41.6,2.8,4.3,4.4,114.1,99.6,36.6,4.4,20.1
98,Dolichocerae,E. chlorandrum,"Sichuan, Baoxing",C.  Zhang Zhang283,BNU,1,100.7,43.4,2.3,3,5.7,121.4,99.9,38.1,1.6,12.8
99,Dolichocerae,E. chlorandrum,"Sichuan, Baoxing",C.  Zhang Zhang283,BNU,1,122.4,61.4,2,9.4,6.1,157.1,110.6,51.8,6.6,16.6
100,Dolichocerae,E. chlorandrum,"Sichuan, Baoxing",C.  Zhang Zhang283,BNU,1,115,47.3,2.4,5.6,6.6,132.5,103.1,40.9,4.1,20.7
101,Dolichocerae,E. chlorandrum,"Sichuan, Baoxing",C.  Zhang Zhang283,BNU,1,146.7,71.9,2,9.7,6.3,148,129.1,64.6,11.1,26.4
102,Dolichocerae,E. chlorandrum,"Sichuan, Baoxing",C.  Zhang Zhang283,BNU,1,114.7,50,2.3,6.6,4.2,129.2,112,43.6,6.1,22.4
103,Dolichocerae,E. chlorandrum,"Sichuan, Baoxing",C.  Zhang Zhang283,BNU,1,127.1,46,2.8,5.9,3.5,117.6,123.7,51.1,8.5,24.6
104,Dolichocerae,E. chlorandrum,"Sichuan, Baoxing",C.  Zhang Zhang283,BNU,1,129.6,52.9,2.4,10.9,3.7,173.8,112.7,44.9,8.1,21.2
105,Dolichocerae,E. chlorandrum,"Sichuan, Baoxing",C.  Zhang Zhang283,BNU,1,141.8,48,3,4.2,3.7,108.3,138.4,45.3,6.2,23.4
106,Dolichocerae,E. chlorandrum,"Sichuan, Baoxing",C.  Zhang Zhang283,BNU,1,122.4,49.6,2.5,6.8,4.5,168.5,101.2,42.9,6,16.7
107,Dolichocerae,E. chlorandrum,"Sichuan, Baoxing",C.  Zhang Zhang283,BNU,1,142.4,44.4,3.2,4.6,5.6,123.2,123.6,39,6.5,21.8
108,Dolichocerae,E. chlorandrum,"Sichuan, Baoxing",C.  Zhang Zhang283,BNU,1,117.2,51.5,2.3,6.8,4,107.8,107.5,44.2,6.4,20.6
109,Brachycerae,E. coactum,"GuiZhou, Jianhe",B.L.  Guo  319,BNU,1,94.2,45.2,2.1,6.2,5.7,117.2,89.3,44.5,2,26.7
110,Brachycerae,E. coactum,"GuiZhou, Jianhe",B.L.  Guo  319,BNU,1,95.2,42.4,2.2,8.8,5.4,115.5,92.1,45.5,6.1,20.3
111,Brachycerae,E. coactum,"GuiZhou, Jianhe",B.L.  Guo  319,BNU,1,68.1,27.5,2.5,5,5.6,116.7,65.3,31.9,3.2,17.2
112,Brachycerae,E. coactum,"GuiZhou, Jianhe",B.L.  Guo  319,BNU,1,65.2,37,1.8,6.5,5.6,115.5,82.3,40.6,3.7,21.5
113,Brachycerae,E. coactum,"Hunan, Huitong",C.  Zhang Zhang205,BNU,1,114.8,54.3,2.1,7.1,3.7,134.8,113.5,51.3,3.2,28.4
114,Brachycerae,E. coactum,"Hunan, Huitong",C.  Zhang Zhang205,BNU,1,141.8,69.9,2,13.7,5.8,214.3,129.2,66.1,10.3,49.4
115,Brachycerae,E. coactum,"Hunan, Huitong",C.  Zhang Zhang205,BNU,1,155.5,77.2,2,13.3,4.5,207.2,144.6,74.4,10.4,50.5
116,Brachycerae,E. coactum,"Hunan, Huitong",C.  Zhang Zhang205,BNU,1,168.4,87.6,1.9,12.9,4.9,151.2,146,83.8,14.3,30.5
117,Brachycerae,E. coactum,"Hunan, Huitong",C.  Zhang Zhang205,BNU,1,136.7,59.5,2.3,9.5,3.5,125.6,130.3,54.4,7,39.5
118,Brachycerae,E. coactum,"Hunan, Huitong",C.  Zhang Zhang205,BNU,1,127.4,69.9,1.8,8.5,3.5,130.4,126.8,63.6,5.4,37
119,Brachycerae,E. coactum,"Hunan, Huitong",C.  Zhang Zhang205,BNU,1,158.8,77.7,2,19,5.6,170.1,135.8,69.1,10.1,31.4
120,Brachycerae,E. coactum,"Hunan, Huitong",C.  Zhang Zhang205,BNU,1,121.1,65.6,1.8,9.3,5.2,166.8,120.8,64.9,12,36.8
121,Brachycerae,E. daiguii,"Hunan, Longshan",C.  Zhang Zhang214,BNU,1,70.8,36.6,1.9,8.6,3.9,67.7,61.2,35.1,11.5,18.3
122,Brachycerae,E. daiguii,"Hunan, Longshan",C.  Zhang Zhang214,BNU,1,47.5,30.4,1.6,4.8,6.4,72.7,42.2,32.7,5.3,11.8
123,Brachycerae,E. daiguii,"Hunan, Longshan",C.  Zhang Zhang214,BNU,1,74.8,38,2,8.1,3.8,89,69,34.2,6,16
124,Brachycerae,E. daiguii,"Hunan, Longshan",C.  Zhang Zhang214,BNU,1,74,38.4,1.9,6.1,7.6,91.6,65.4,34.4,5,17.5
125,Brachycerae,E. daiguii,"Hunan, Longshan",C.  Zhang Zhang214,BNU,1,43.2,29.2,1.5,8.5,5.3,54.4,51,32.3,7.6,19
126,Brachycerae,E. daiguii,"Hunan, Longshan",C.  Zhang Zhang214,BNU,1,63.5,38.4,1.7,6.8,5.3,103.9,67.2,39.8,7.7,18.9
127,Brachycerae,E. daiguii,"Hunan, Longshan",C.  Zhang Zhang214,BNU,1,54.4,33.4,1.6,13.3,5.2,90.6,52.3,38.3,7.7,13.5
128,Brachycerae,E. daiguii,"Hunan, Longshan",C.  Zhang Zhang214,BNU,1,70.7,41.5,1.7,6.5,7.6,78.9,59.1,34.9,4.2,16.1
129,Brachycerae,E. daiguii,"Hunan, Longshan",C.  Zhang Zhang214,BNU,1,62.1,34.5,1.8,4.9,5.9,82.2,55.8,31.7,5.7,14.9
130,Brachycerae,E. daiguii,"Hunan, Longshan",C.  Zhang Zhang214,BNU,1,68.3,35,2,5.8,6.8,71.9,55.7,29.1,6.4,16.8
131,Brachycerae,E. daiguii,"Hunan, Longshan",C.  Zhang Zhang214,BNU,1,63.4,30.4,2.1,4.5,8.2,69,51.3,27.1,3.2,11.5
132,Brachycerae,E. daiguii,"Hunan, Longshan",C.  Zhang Zhang214,BNU,1,68.7,25.9,2.6,5.8,5.7,72.8,45,30.3,5.3,17.1
133,Brachycerae,E. daiguii,"Hunan, Longshan",C.  Zhang Zhang214,BNU,1,43.6,25.7,1.7,4.9,4.1,69.8,41,28,5.8,16.1
134,Brachycerae,E. daiguii,"Hunan, Longshan",C.  Zhang Zhang214,BNU,1,52.8,32.1,1.6,3,3.6,53,51.2,35,6.9,16.2
135,Brachycerae,E. daiguii,"Hunan, Longshan",C.  Zhang Zhang214,BNU,1,56.7,35.5,1.6,8.9,5.3,87.8,50.2,33.2,6,21.4
136,Brachycerae,E. daiguii,"Hunan, Longshan",C.  Zhang Zhang214,BNU,1,62.9,36.9,1.7,4,3.9,82.7,54.3,35.6,5.5,16.1
137,Brachycerae,E. daiguii,"Hunan, Longshan",C.  Zhang Zhang214,BNU,1,69.3,44.3,1.6,9.5,4,80,61.3,43.3,7.1,25.8
138,Brachycerae,E. daiguii,"Hunan, Longshan",C.  Zhang Zhang214,BNU,1,68.1,38.6,1.8,8.1,3.7,72.7,54.6,37.6,7.2,14.2
139,Brachycerae,E. daiguii,"Hunan, Longshan",C.  Zhang Zhang214,BNU,1,50.6,27.9,1.8,5.1,4,100.6,47.9,29.3,3.9,8.6
140,Brachycerae,E. daiguii,"Hunan, Longshan",C.  Zhang Zhang214,BNU,1,60.2,36.9,1.6,6.5,4.8,63.4,55.2,35.6,5.9,21.4
141,Brachycerae,E. daiguii,"Hunan, Longshan",C.  Zhang Zhang214,BNU,1,39.4,20.2,2,3.6,6.7,58.1,34,15.5,2,9.5
142,Brachycerae,E. daiguii,"Hunan, Longshan",C.  Zhang Zhang214,BNU,1,44.7,24.4,1.8,6,7,63.7,38.5,21.2,4.2,10.7
143,Brachycerae,E. daiguii,"Hunan, Longshan",C.  Zhang Zhang214,BNU,1,64.2,37.6,1.7,10,5.3,95.3,59.2,38.8,9.6,23.6
144,Brachycerae,E. daiguii,"Hunan, Longshan",C.  Zhang Zhang214,BNU,1,53.4,31.6,1.7,4.9,3.4,85.7,42.8,24.3,2.2,15.9
145,Davidianae,E. davidii,"Sichuan, Baoxing",C.  Zhang Zhang282,BNU,0,32.7,25.3,1.3,4.6,4.7,44.8,23.8,18.5,4.4,6.8
146,Davidianae,E. davidii,"Sichuan, Baoxing",C.  Zhang Zhang282,BNU,0,33.5,31.6,1.1,3.6,5.5,64.2,26,23.2,4.1,9.8
147,Davidianae,E. davidii,"Sichuan, Baoxing",C.  Zhang Zhang282,BNU,0,37,32.9,1.1,7.5,4.2,60.6,29,24.6,4.7,9.7
148,Davidianae,E. davidii,"Sichuan, Baoxing",C.  Zhang Zhang282,BNU,0,38.4,28.9,1.3,5,5.1,39.1,28,22.8,4.3,6.4
149,Davidianae,E. davidii,"Sichuan, Baoxing",C.  Zhang Zhang282,BNU,0,46.6,34.4,1.4,7,4.5,82.8,31.1,27.4,6.4,8.4
150,Davidianae,E. davidii,"Sichuan, Baoxing",C.  Zhang Zhang282,BNU,0,37,26.8,1.4,5.9,4.6,50.6,28.5,21,5.3,8.4
151,Davidianae,E. davidii,"Sichuan, Baoxing",C.  Zhang Zhang282,BNU,0,33.2,25.3,1.3,4.6,2.9,74.2,26.2,20.3,2.9,5.3
152,Davidianae,E. davidii,"Sichuan, Baoxing",C.  Zhang Zhang282,BNU,0,41.9,24.6,1.7,2.3,4.6,54.9,29.5,17.8,0.9,2.8
153,Davidianae,E. davidii,"Sichuan, Baoxing",C.  Zhang Zhang282,BNU,0,39.9,27.4,1.5,4.6,4.5,60.2,28.6,22.5,4.2,8.2
154,Brachycerae,E. dolichostemon,"Guizhou, Yanhe",C.  Zhang Zhang219,BNU,1,90.4,54,1.7,9.9,5.3,85.8,76.2,46.2,9.8,20.3
155,Brachycerae,E. dolichostemon,"Guizhou, Yanhe",C.  Zhang Zhang219,BNU,1,91.7,59,1.6,9.7,5.2,88,77.3,46,8.4,27.3
156,Brachycerae,E. dolichostemon,"Guizhou, Yanhe",C.  Zhang Zhang219,BNU,1,84.8,42.6,2,7.3,3.9,89.4,76.2,41.5,2.4,17.5
157,Brachycerae,E. dolichostemon,"Guizhou, Yanhe",C.  Zhang Zhang219,BNU,1,116.9,62.3,1.9,13.7,5.7,115.3,97.2,52.7,8.3,13.7
158,Brachycerae,E. dolichostemon,"Guizhou, Yanhe",C.  Zhang Zhang219,BNU,1,124,72.9,1.7,14.9,4.4,126,95.9,51.4,10.1,13.9
159,Brachycerae,E. dolichostemon,"Guizhou, Yanhe",C.  Zhang Zhang219,BNU,1,91.6,44.8,2,4.4,4.8,83.2,80.7,37.9,3,18.9
160,Brachycerae,E. dolichostemon,"Guizhou, Yanhe",C.  Zhang Zhang219,BNU,1,118,68.3,1.7,12.2,5,109.4,97,57.2,10.9,27.2
161,Brachycerae,E. dolichostemon,"Guizhou, Yanhe",C.  Zhang Zhang219,BNU,1,93.6,50.3,1.9,7.3,3,98.7,72.6,37.1,3.5,18.3
